name,lat,lng,max_temp_f,humidity,cloudiness,windspeed,country,date
Moose Factory,51.26,-80.61,60.8,77,90,12.75,CA,1600891471
Berestechko,50.36,25.11,60.01,82,5,11.99,UA,1600891471
Cortez,37.35,-108.59,80.6,21,1,9.17,US,1600891472
Līsakovsk,52.54,62.49,44.31,76,0,13.78,KZ,1600891472
João Pinheiro,-17.74,-46.17,80.42,48,100,1.86,BR,1600891472
Seymchan,62.88,152.43,37.67,90,99,7.72,RU,1600891472
Kulunda,52.57,78.94,49.57,83,100,26.62,RU,1600891473
Wajima,37.4,136.9,72.91,78,67,14.05,JP,1600891473
Qandala,11.47,49.87,89.98,51,99,5.21,SO,1600891473
Morant Bay,17.88,-76.41,88.0,74,20,14.99,JM,1600891474
Airai,-8.93,125.41,60.73,55,0,3.42,TL,1600891474
Bonavista,48.65,-53.11,62.65,84,21,18.9,CA,1600891474
Hilo,19.73,-155.09,77.0,88,90,4.7,US,1600891474
Bose,45.46,8.01,64.99,90,33,3.0,IT,1600891474
Plettenberg Bay,-34.05,23.37,57.67,79,0,4.25,ZA,1600891475
Berezovyy,51.67,135.7,43.02,83,0,2.37,RU,1600891475
Dengzhou,37.81,120.75,64.15,74,92,4.68,CN,1600891475
Ola,59.58,151.28,38.98,73,45,7.83,RU,1600890900
Uspenka,48.39,39.16,58.96,34,0,4.0,UA,1600891476
Mpika,-11.83,31.45,62.69,58,0,7.74,ZM,1600891476
Wenling,28.37,121.36,71.01,59,100,6.13,CN,1600891226
Christchurch,-43.53,172.63,53.01,100,0,6.93,NZ,1600891239
Karla,59.37,24.93,60.01,93,26,6.93,EE,1600891476
Yar,58.25,52.1,38.73,91,20,6.22,RU,1600891477
Colares,38.8,-9.45,70.0,94,75,4.7,PT,1600891404
Puerto Ayora,-0.74,-90.35,69.01,85,99,8.01,EC,1600891388
Vostok,46.49,135.88,41.07,99,0,2.98,RU,1600891477
Berlevåg,70.86,29.09,46.4,70,75,17.22,NO,1600891477
Cherskiy,68.75,161.3,41.02,91,100,14.72,RU,1600891478
Bundaberg,-24.85,152.35,70.0,100,100,5.82,AU,1600891180
Bismarck,46.81,-100.78,78.01,47,1,3.36,US,1600891285
La Ronge,55.1,-105.28,59.0,54,20,9.17,CA,1600891478
Dikson,73.51,80.55,39.65,86,0,15.7,RU,1600891479
Caravelas,-17.71,-39.25,76.15,72,65,8.9,BR,1600891479
Bambous Virieux,-20.34,57.76,69.8,77,40,6.93,MU,1600891386
Tessalit,20.2,1.01,94.75,11,28,6.6,ML,1600891479
Fare,-16.7,-151.02,79.84,77,0,16.67,PF,1600891480
Misratah,32.38,15.09,86.88,48,1,6.8,LY,1600891480
Yichang,30.71,111.28,64.11,77,0,2.66,CN,1600891480
Baillif,16.02,-61.75,89.6,62,20,11.41,GP,1600891480
Kahului,20.89,-156.47,87.8,58,40,19.46,US,1600891481
Hambantota,6.12,81.12,80.35,74,88,15.03,LK,1600890972
Jamestown,42.1,-79.24,73.0,49,40,12.75,US,1600891382
Khor,47.89,134.95,51.03,91,78,4.72,RU,1600891481
Guangshui,31.62,114.0,61.45,80,0,1.88,CN,1600891481
Dakar,14.69,-17.44,84.2,79,40,9.17,SN,1600891228
San Policarpo,12.18,125.51,77.86,88,57,6.29,PH,1600891482
Marsabit,2.33,37.99,66.6,83,31,22.08,KE,1600891482
Saint George,37.1,-113.58,91.99,18,1,4.7,US,1600891412
Al Bardīyah,31.76,25.09,74.01,81,0,8.9,LY,1600891482
Port Angeles,48.12,-123.43,57.2,100,90,2.82,US,1600891483
Sannat,36.02,14.24,79.0,88,100,3.36,MT,1600891483
Viedma,-40.81,-63.0,69.01,37,0,5.01,AR,1600891227
Kaseda-shirakame,31.42,130.32,73.99,82,100,7.87,JP,1600891483
Kaura Namoda,12.59,6.58,83.7,54,98,8.34,NG,1600891484
La Orilla,17.98,-102.23,85.73,69,0,8.41,MX,1600891484
Poso,-1.4,120.75,76.28,79,100,2.73,ID,1600891484
Pemba,-12.97,40.52,76.14,81,4,20.54,MZ,1600891485
Reykjavik,64.14,-21.9,39.2,64,20,19.46,IS,1600891485
Homer,59.64,-151.55,50.0,93,90,3.58,US,1600891485
Kamariótissa,40.48,25.47,71.6,64,20,3.36,GR,1600891485
Ketchikan,55.34,-131.65,59.0,87,90,28.86,US,1600891486
Lučani,43.86,20.14,60.8,82,66,4.7,RS,1600891486
Cheremshanka,56.12,60.27,40.51,84,88,14.25,RU,1600891486
Mossamedes,-15.2,12.15,64.54,86,96,6.67,AO,1600891487
Aasiaat,68.71,-52.87,22.96,94,0,14.12,GL,1600891487
Itarema,-2.92,-39.92,80.58,67,1,20.36,BR,1600890988
Silver City,32.77,-108.28,86.0,15,40,9.17,US,1600891235
Tigre,-34.43,-58.58,75.0,33,76,10.29,AR,1600891487
Manado,1.49,124.85,73.4,94,40,1.12,ID,1600891488
Chokurdakh,70.63,147.92,35.78,95,100,5.91,RU,1600891488
Médéa,36.26,2.75,71.6,60,12,3.51,DZ,1600891488
Khandyga,62.67,135.6,35.96,85,0,1.97,RU,1600891488
Moyo,3.66,31.72,67.57,94,3,0.98,UG,1600891489
Lompoc,34.64,-120.46,80.01,50,1,5.82,US,1600890907
Qujing,25.48,103.78,55.81,92,100,1.25,CN,1600891489
Tambun,-6.26,107.07,80.01,88,20,3.36,ID,1600891490
Mayo,38.89,-76.51,80.01,44,1,6.93,US,1600891490
Palu,-0.89,119.87,75.88,83,100,2.17,ID,1600891490
Tremedal,-14.98,-41.41,85.68,38,77,9.71,BR,1600891490
Semporna,4.48,118.61,75.2,94,20,3.36,MY,1600891491
Gaza,31.5,34.47,80.6,65,20,4.7,PS,1600891491
Sterling,39.01,-77.43,81.0,39,20,11.41,US,1600891491
Farmington Hills,42.49,-83.38,79.0,50,75,6.93,US,1600891362
Huarmey,-10.07,-78.15,68.32,67,24,9.35,PE,1600891441
Brawley,32.98,-115.53,98.6,13,1,3.36,US,1600891492
Lumut,4.23,100.63,78.8,94,40,2.24,MY,1600891492
Kavieng,-2.57,150.8,82.18,62,94,6.33,PG,1600891492
Salāya,22.32,69.6,82.49,83,94,13.96,IN,1600891492
Cayenne,4.93,-52.33,87.8,62,100,16.11,GF,1600891206
Payakumbuh,-0.22,100.63,69.53,89,100,3.31,ID,1600891493
Coquimbo,-29.95,-71.34,57.2,82,75,12.75,CL,1600891493
Bukama,-9.2,25.85,79.02,29,3,2.42,CD,1600891494
Boa Vista,2.82,-60.67,95.0,36,75,9.17,BR,1600891494
Harrison,30.41,-89.04,80.6,78,90,20.8,US,1600891371
Muros,42.78,-9.06,61.0,93,100,2.15,ES,1600891494
Usinsk,65.99,57.53,36.66,91,13,10.89,RU,1600891494
Bogale,16.28,95.4,75.72,94,100,2.44,MM,1600891495
Mogocha,53.73,119.77,44.02,94,100,7.74,RU,1600891495
‘Āhuimanu,21.44,-157.84,86.0,65,20,11.41,US,1600891495
Ambon City,-3.7,128.18,78.67,82,37,6.2,ID,1600891496
Mar del Plata,-38.0,-57.56,60.8,59,97,6.93,AR,1600891496
Northam,51.03,-4.22,53.01,82,96,5.99,GB,1600891496
Leningradskiy,69.38,178.42,35.53,94,100,10.47,RU,1600891497
Yangi Marg`ilon,40.43,71.72,57.2,62,0,2.24,UZ,1600891497
Hays,30.05,-98.03,75.99,77,77,1.01,US,1600891497
Rzhev,56.26,34.33,55.92,92,41,6.33,RU,1600891497
Moïssala,8.34,17.77,71.62,96,49,3.51,TD,1600891498
Bucerías,20.75,-105.33,89.6,66,40,10.29,MX,1600891498
Deputatsky,69.3,139.9,32.9,94,87,4.45,RU,1600891498
Sinnamary,5.38,-52.95,83.55,71,100,13.47,GF,1600891499
Monrovia,6.3,-10.8,77.85,87,37,10.38,LR,1600891389
Lata,40.16,-8.33,70.0,82,40,4.7,PT,1600890954
Portland,45.52,-122.68,69.01,88,90,14.99,US,1600891312
Livingstonia,-10.61,34.11,63.73,76,0,4.83,MW,1600891499
Sittwe,20.15,92.9,81.5,84,100,7.02,MM,1600891500
Kununurra,-15.77,128.73,77.0,78,90,3.6,AU,1600891500
Magdagachi,53.45,125.8,49.24,95,100,14.54,RU,1600891500
Cedar City,37.68,-113.06,80.6,12,1,7.14,US,1600891412
Bima,-8.47,118.72,74.68,76,86,3.44,ID,1600891501
Baykit,61.67,96.37,45.01,81,100,7.87,RU,1600891501
Shakiso,5.75,38.92,57.07,93,81,3.4,ET,1600891502
Santa Maria,-29.68,-53.81,82.4,51,20,8.05,BR,1600891502
Puerto Escondido,15.85,-97.07,87.8,70,20,9.17,MX,1600891502
Pevek,69.7,170.31,36.21,93,98,20.6,RU,1600891503
Ambilobe,-13.2,49.05,68.72,66,16,4.05,MG,1600891503
Kaeo,-35.1,173.78,63.0,83,49,5.01,NZ,1600891503
Thanh Hoa,19.8,105.77,77.09,91,93,4.43,VN,1600891503
Rodrigues Alves,-7.74,-72.65,91.54,42,98,3.4,BR,1600891504
Upernavik,72.79,-56.15,28.22,96,100,11.12,GL,1600890924
Honiara,-9.43,159.95,73.4,100,20,2.24,SB,1600891440
Haines Junction,60.75,-137.51,46.2,68,100,2.8,CA,1600891504
Kurkino,53.43,38.66,56.64,75,24,3.96,RU,1600891504
Fairbanks,64.84,-147.72,48.99,76,75,4.0,US,1600891466
Molteno,-31.4,26.36,59.63,34,0,5.64,ZA,1600891505
Mahébourg,-20.41,57.7,69.8,77,40,6.93,MU,1600891266
Prince Rupert,54.32,-130.32,57.2,82,75,11.41,CA,1600891505
Murgab,37.5,61.97,59.0,38,0,4.7,TM,1600891505
Tarsus,36.92,34.88,78.8,88,40,0.54,TR,1600891506
Storm Lake,42.64,-95.21,78.8,50,1,17.22,US,1600891506
Manta,-0.95,-80.73,80.6,69,40,12.75,EC,1600891278
Isangel,-19.55,169.27,66.2,93,75,10.13,VU,1600891391
Crotone,39.09,17.12,77.5,58,80,7.36,IT,1600891507
Rawson,-43.3,-65.1,64.27,27,0,8.34,AR,1600891507
São Borja,-28.66,-56.0,82.47,49,0,2.15,BR,1600891507
Byron Bay,-28.65,153.62,62.6,51,100,5.82,AU,1600891508
Galesong,-5.32,119.37,77.0,88,75,3.36,ID,1600891508
Port-Gentil,-0.72,8.78,77.0,88,40,11.72,GA,1600891508
Jacareacanga,-6.22,-57.75,91.4,59,40,5.82,BR,1600891509
Torbay,47.67,-52.73,69.01,93,75,21.92,CA,1600891509
Krasnovishersk,60.41,57.08,41.88,85,99,9.19,RU,1600891509
Broome,42.25,-75.83,77.0,40,20,19.46,US,1600891509
Ca Mau,9.18,105.15,77.83,87,62,2.24,VN,1600891509
Cabadiangan,9.75,122.47,77.77,81,100,0.34,PH,1600891510
Kaitangata,-46.28,169.85,51.01,76,97,4.0,NZ,1600891510
Ikom,5.97,8.71,73.54,96,100,3.13,NG,1600891511
Alofi,-19.06,-169.92,71.6,94,75,4.7,NU,1600891395
Kutum,14.2,24.67,78.6,52,23,5.21,SD,1600891002
Okha,53.57,142.95,43.9,81,0,4.45,RU,1600891511
Doka,13.52,35.77,74.43,85,100,7.76,SD,1600891512
Abalak,58.13,68.59,40.91,94,100,11.72,RU,1600891512
Marsh Harbour,26.54,-77.06,81.46,60,24,12.97,BS,1600891512
Tual,-5.67,132.75,80.01,83,8,13.56,ID,1600891512
Orël-Izumrud,43.46,39.92,69.8,73,0,6.71,RU,1600891513
Salinópolis,-0.61,-47.36,81.61,73,12,13.04,BR,1600891513
Labuan,5.28,115.24,77.0,94,20,1.12,MY,1600891513
